book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,no_of_pages,image_name
A Farewell to Arms,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms,Ernest Hemingway,3.82,341689,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836i/10799._SY75_.jpg,293.0,cover_665.png
If You Give a Mouse a Cookie,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie,Laura Joffe Numeroff,4.29,308277,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1276046901i/767680._SX50_.jpg,40.0,cover_666.png
The Witches,https://www.goodreads.com/book/show/6327.The_Witches,Roald Dahl,4.18,417710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351707720i/6327._SY75_.jpg,208.0,cover_667.png
"Scarlet (The Lunar Chronicles, #2)",https://www.goodreads.com/book/show/13206760-scarlet,Marissa Meyer,4.24,448464,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470056982i/13206760._SY75_.jpg,454.0,cover_668.png
"City of Heavenly Fire (The Mortal Instruments, #6)",https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire,Cassandra Clare,4.38,406356,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477794i/8755785._SY75_.jpg,725.0,cover_669.png
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat,Daniel James Brown,4.39,349553,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354683116i/16158542._SY75_.jpg,404.0,cover_670.png
"In a Dark, Dark Wood",https://www.goodreads.com/book/show/23346377-in-a-dark-dark-wood,Ruth Ware,3.72,385485,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429521615i/23346377._SY75_.jpg,352.0,cover_671.png
Jonathan Strange & Mr Norrell,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Susanna Clarke,3.87,248279,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1743119988i/14201._SY75_.jpg,1006.0,cover_672.png
White Oleander,https://www.goodreads.com/book/show/32234.White_Oleander,Janet Fitch,4.00,362238,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501159524i/32234._SY75_.jpg,446.0,cover_673.png
"The Testaments (The Handmaid's Tale, #2)",https://www.goodreads.com/book/show/42975172-the-testaments,Margaret Atwood,4.20,389448,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549292344i/42975172._SY75_.jpg,422.0,cover_674.png
Their Eyes Were Watching God,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,Zora Neale Hurston,3.99,374336,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg,238.0,cover_675.png
Much Ado About Nothing,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing,William Shakespeare,4.06,253779,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327885569i/12957._SY75_.jpg,249.0,cover_676.png
The Client,https://www.goodreads.com/book/show/5359.The_Client,John Grisham,4.06,457204,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554192326i/5359._SY75_.jpg,483.0,cover_677.png
"Untamed (House of Night, #4)",https://www.goodreads.com/book/show/2866718-untamed,P.C. Cast,3.94,242559,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438037020i/2866718._SY75_.jpg,338.0,cover_678.png
"Dragonfly in Amber (Outlander, #2)",https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber,Diana Gabaldon,4.34,375981,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456114344i/5364._SY75_.jpg,947.0,cover_679.png
Message in a Bottle,https://www.goodreads.com/book/show/3478.Message_in_a_Bottle,Nicholas Sparks,3.98,244950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1163789140i/3478._SY75_.jpg,342.0,cover_680.png
A Million Little Pieces,https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces,James Frey,3.69,260083,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483206985i/1241._SY75_.jpg,515.0,cover_681.png
"Spirit Bound (Vampire Academy, #5)",https://www.goodreads.com/book/show/6479259-spirit-bound,Richelle Mead,4.32,304047,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291168967i/6479259._SY75_.jpg,489.0,cover_682.png
The God Delusion,https://www.goodreads.com/book/show/14743.The_God_Delusion,Richard Dawkins,3.90,278050,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347220693i/14743._SY75_.jpg,374.0,cover_683.png
The Complete Stories and Poems,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,4.40,289978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919._SY75_.jpg,821.0,cover_684.png
Nineteen Minutes,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,Jodi Picoult,4.17,403950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348577596i/14866._SY75_.jpg,440.0,cover_685.png
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",https://www.goodreads.com/book/show/20698530-p-s-i-still-love-you,Jenny Han,4.01,408086,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422881430i/20698530._SY75_.jpg,337.0,cover_686.png
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Laini Taylor,3.99,380738,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461353773i/8490112._SY75_.jpg,418.0,cover_687.png
"In the Woods (Dublin Murder Squad, #1)",https://www.goodreads.com/book/show/2459785.In_the_Woods,Tana French,3.79,425600,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761513i/2459785._SY75_.jpg,448.0,cover_688.png
"The Kiss Quotient (The Kiss Quotient, #1)",https://www.goodreads.com/book/show/36199084-the-kiss-quotient,Helen Hoang,3.88,481387,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688188444i/36199084._SY75_.jpg,323.0,cover_689.png
King Lear,https://www.goodreads.com/book/show/12938.King_Lear,William Shakespeare,3.91,231221,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331563731i/12938._SY75_.jpg,339.0,cover_690.png
Wall and Piece,https://www.goodreads.com/book/show/114683.Wall_and_Piece,Banksy,3.85,231491,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327904853i/114683._SX50_.jpg,240.0,cover_691.png
"I Am Number Four (Lorien Legacies, #1)",https://www.goodreads.com/book/show/7747374-i-am-number-four,Pittacus Lore,3.94,348816,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305807140i/7747374._SY75_.jpg,440.0,cover_692.png
Think and Grow Rich,https://www.goodreads.com/book/show/30186948-think-and-grow-rich,Napoleon Hill,4.17,365227,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463241782i/30186948._SY75_.jpg,233.0,cover_693.png
The Story of Art,https://www.goodreads.com/book/show/222078.The_Story_of_Art,E.H. Gombrich,3.97,444337,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389274650i/222078._SX50_.jpg,688.0,cover_694.png
"P.S. I Love You (P.S. I Love You, #1)",https://www.goodreads.com/book/show/366522.P_S_I_Love_You,Cecelia Ahern,4.04,392068,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392344536i/366522._SX50_.jpg,501.0,cover_695.png
I Know This Much Is True,https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True,Wally Lamb,4.21,319581,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373532198i/227711._SY75_.jpg,897.0,cover_696.png
"Blood Promise (Vampire Academy, #4)",https://www.goodreads.com/book/show/5996153-blood-promise,Richelle Mead,4.30,323246,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442530605i/5996153._SY75_.jpg,503.0,cover_697.png
"Speaker for the Dead (Ender's Saga, #2)",https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Orson Scott Card,4.11,265951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967._SY75_.jpg,382.0,cover_698.png
Into the Water,https://www.goodreads.com/book/show/33151805-into-the-water,Paula Hawkins,3.59,410425,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494055413i/33151805._SY75_.jpg,386.0,cover_699.png
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,Greg Mortenson,3.66,358531,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395407074i/49436._SY75_.jpg,349.0,cover_700.png
Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Robert A. Heinlein,3.92,322137,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350._SY75_.jpg,525.0,cover_701.png
Dress Your Family in Corduroy and Denim,https://www.goodreads.com/book/show/10176.Dress_Your_Family_in_Corduroy_and_Denim,David Sedaris,4.11,285571,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352983006i/10176._SY75_.jpg,257.0,cover_702.png
The Trial,https://www.goodreads.com/book/show/17690.The_Trial,Franz Kafka,3.95,371302,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399438i/17690._SY75_.jpg,255.0,cover_703.png
"Easy (Contours of the Heart, #1)",https://www.goodreads.com/book/show/16056408-easy,Tammara Webber,4.07,228606,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349370267i/16056408._SY75_.jpg,336.0,cover_704.png
Breakfast of Champions,https://www.goodreads.com/book/show/4980.Breakfast_of_Champions,Kurt Vonnegut Jr.,4.06,273382,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327934446i/4980._SY75_.jpg,303.0,cover_705.png
"Where She Went (If I Stay, #2)",https://www.goodreads.com/book/show/8492825-where-she-went,Gayle Forman,3.97,302445,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347810457i/8492825._SX50_.jpg,264.0,cover_706.png
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",https://www.goodreads.com/book/show/6324090-alice-s-adventures-in-wonderland,Lewis Carroll,3.99,418474,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391204048i/6324090._SX50_.jpg,96.0,cover_707.png
Midnight in the Garden of Good and Evil,https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil,John Berendt,3.92,287135,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427166915i/386187._SY75_.jpg,386.0,cover_708.png
Beowulf,https://www.goodreads.com/book/show/52357.Beowulf,Unknown,3.50,335935,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878125i/52357._SY75_.jpg,259.0,cover_709.png
The Remains of the Day,https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day,Kazuo Ishiguro,4.14,338951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714i/28921._SY75_.jpg,258.0,cover_710.png
The Light Between Oceans,https://www.goodreads.com/book/show/13158800-the-light-between-oceans,M.L. Stedman,4.04,471443,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336683021i/13158800._SY75_.jpg,362.0,cover_711.png
