book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
"The Crown (The Selection, #5)",https://www.goodreads.com/book/show/26074181-the-crown,Kiera Cass,3.62,315347,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446759650i/26074181._SY75_.jpg,0.0,278.0,cover_1274.png
The Book of Lost Names,https://www.goodreads.com/book/show/52762903-the-book-of-lost-names,Kristin Harmel,4.44,293569,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573742414i/52762903._SY75_.jpg,0.0,388.0,cover_1275.png
"Bully (Fall Away, #1)",https://www.goodreads.com/book/show/20803953-bully,Penelope Douglas,3.84,228959,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392309572i/20803953._SY75_.jpg,0.0,333.0,cover_1276.png
"The Five-Star Weekend (Sommer in Nantucket, #1)",https://www.goodreads.com/book/show/62873996-the-five-star-weekend,Elin Hilderbrand,4.01,326508,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680591253i/62873996._SY75_.jpg,0.0,384.0,cover_1277.png
One by One,https://www.goodreads.com/book/show/50892433-one-by-one,Ruth Ware,3.72,220617,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655884i/50892433._SY75_.jpg,0.0,372.0,cover_1278.png
"Cilka's Journey (The Tattooist of Auschwitz, #2)",https://www.goodreads.com/book/show/45033931-cilka-s-journey,Heather Morris,4.40,215385,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555421893i/45033931._SY75_.jpg,0.0,352.0,cover_1279.png
"The Way I Used to Be (The Way I Used to Be, #1)",https://www.goodreads.com/book/show/23546634-the-way-i-used-to-be,Amber Smith,4.14,226916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433883455i/23546634._SY75_.jpg,0.0,385.0,cover_1280.png
The Perfect Son,https://www.goodreads.com/book/show/52616342-the-perfect-son,Freida McFadden,4.00,483029,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570489697l/52616342._SX50_SY75_.jpg,0.0,373.0,cover_1281.png
The Summer of Broken Rules,https://www.goodreads.com/book/show/49259788-the-summer-of-broken-rules,K.L. Walther,3.88,328900,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600698670i/49259788._SX50_.jpg,0.0,359.0,cover_1282.png
"Finlay Donovan Is Killing It (Finlay Donovan, #1)",https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it,Elle Cosimano,3.99,234098,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659447956i/53138099._SY75_.jpg,0.0,368.0,cover_1283.png
"The Knife of Never Letting Go (Chaos Walking, #1)",https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go,Patrick Ness,3.98,204040,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534503008i/20758104._SY75_.jpg,0.0,528.0,cover_1284.png
"Prodigy (Legend, #2)",https://www.goodreads.com/book/show/13414446-prodigy,Marie Lu,4.22,281150,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336254717i/13414446._SY75_.jpg,0.0,371.0,cover_1285.png
The Tale of Despereaux,https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux,Kate DiCamillo,4.08,213545,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412211823i/37190._SX50_.jpg,0.0,272.0,cover_1286.png
"The Butterfly Garden (The Collector, #1)",https://www.goodreads.com/book/show/29981261-the-butterfly-garden,Dot Hutchison,4.09,281724,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461392121i/29981261._SX50_.jpg,0.0,288.0,cover_1287.png
"Wild Love (Rose Hill, #1)",https://www.goodreads.com/book/show/199368721-wild-love,Elsie Silver,4.00,423279,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713345163i/199368721._SY75_.jpg,0.0,466.0,cover_1288.png
"The Waste Lands (The Dark Tower, #3)",https://www.goodreads.com/book/show/34084.The_Waste_Lands,Stephen King,4.25,246896,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532334476i/34084._SY75_.jpg,0.0,422.0,cover_1289.png
